Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0982,11/21/2025,11/21/2025,TIKTOK ADS,Professional Services,Sale,-35.00,
0982,11/20/2025,11/20/2025,TIKTOK ADS,Professional Services,Sale,-34.00,
0982,11/19/2025,11/20/2025,TIKTOK ADS,Professional Services,Sale,-33.00,
0982,11/19/2025,11/20/2025,TIKTOK ADS,Professional Services,Sale,-32.00,
0982,11/19/2025,11/20/2025,TIKTOK ADS,Professional Services,Sale,-27.00,
0982,11/19/2025,11/20/2025,TIKTOK ADS  *TIKTOK,Professional Services,Sale,-28.00,
0982,11/19/2025,11/20/2025,TIKTOK ADS  *TIKTOK,Professional Services,Sale,-29.00,
0982,11/19/2025,11/20/2025,TIKTOK ADS,Professional Services,Sale,-32.00,
0982,11/19/2025,11/20/2025,TIKTOK ADS,Professional Services,Sale,-32.00,
0982,11/18/2025,11/19/2025,TIKTOK ADS,Professional Services,Sale,-26.00,
0982,11/18/2025,11/19/2025,TIKTOK ADS  *TIKTOK,Professional Services,Sale,-27.00,
0982,11/19/2025,11/19/2025,TIKTOK ADS,Professional Services,Sale,-27.00,
0982,11/19/2025,11/19/2025,TIKTOK ADS,Professional Services,Sale,-27.00,
0982,11/19/2025,11/19/2025,TIKTOK ADS,Professional Services,Sale,-27.00,
0982,11/17/2025,11/18/2025,TIKTOK ADS  *TIKTOK,Professional Services,Sale,-20.00,
0982,11/17/2025,11/18/2025,TIKTOK ADS,Professional Services,Sale,-26.00,
0982,11/18/2025,11/18/2025,TIKTOK ADS,Professional Services,Sale,-28.00,
0982,11/18/2025,11/18/2025,TIKTOK ADS,Professional Services,Sale,-31.00,
0982,11/17/2025,11/18/2025,TIKTOK ADS,Professional Services,Sale,-24.00,
0982,11/17/2025,11/18/2025,TIKTOK ADS,Professional Services,Sale,-26.00,
0982,11/17/2025,11/18/2025,TIKTOK ADS,Professional Services,Sale,-26.00,
0982,11/16/2025,11/17/2025,TIKTOK ADS,Professional Services,Sale,-20.00,
0982,11/16/2025,11/17/2025,TIKTOK ADS,Professional Services,Sale,-21.00,
0982,11/16/2025,11/17/2025,TIKTOK ADS,Professional Services,Sale,-19.00,
0982,11/17/2025,11/17/2025,TIKTOK ADS,Professional Services,Sale,-28.00,
0982,11/16/2025,11/17/2025,TIKTOK ADS,Professional Services,Sale,-21.00,
0982,11/16/2025,11/17/2025,TIKTOK ADS,Professional Services,Sale,-25.00,
0982,11/16/2025,11/17/2025,TIKTOK ADS,Professional Services,Sale,-18.00,
0982,11/16/2025,11/17/2025,TIKTOK ADS,Professional Services,Sale,-20.00,
0982,11/16/2025,11/17/2025,TIKTOK ADS,Professional Services,Sale,-22.00,
0982,11/17/2025,11/17/2025,TIKTOK ADS,Professional Services,Sale,-27.00,
0982,11/15/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-9.00,
0982,11/16/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-19.00,
0982,11/14/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-5.00,
0982,11/16/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-21.00,
0982,11/16/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-17.00,
0982,11/16/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-21.00,
0982,11/15/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-11.00,
0982,11/14/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-6.00,
0982,11/15/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-11.00,
0982,11/14/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-7.00,
0982,11/15/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-9.00,
0982,11/15/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-18.00,
0982,11/15/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-11.00,
0982,11/14/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-7.00,
0982,11/15/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-12.00,
0982,11/14/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-9.00,
0982,11/15/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-12.00,
0982,11/14/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-7.00,
0982,11/15/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-11.00,
0982,11/15/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-9.00,
0982,11/14/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-8.00,
0982,11/14/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-6.00,
0982,11/15/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-12.00,
0982,11/15/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-9.00,
0982,11/14/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-6.00,
0982,11/15/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-10.00,
0982,11/14/2025,11/16/2025,TIKTOK ADS,Professional Services,Sale,-5.00,
0982,11/13/2025,11/14/2025,TIKTOK ADS,Professional Services,Sale,-5.00,
0982,11/14/2025,11/14/2025,TIKTOK ADS,Professional Services,Sale,-5.00,
0982,11/14/2025,11/14/2025,TIKTOK ADS,Professional Services,Sale,-5.00,
0982,11/14/2025,11/14/2025,TIKTOK ADS,Professional Services,Sale,-5.00,
0982,11/14/2025,11/14/2025,TIKTOK ADS,Professional Services,Sale,-5.00,
0982,11/13/2025,11/14/2025,TIKTOK ADS,Professional Services,Sale,-5.00,
0982,11/12/2025,11/12/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-287.75,
0982,11/03/2025,11/04/2025,TIKTOK ADS,Professional Services,Sale,-13.00,
0982,11/03/2025,11/04/2025,TIKTOK ADS  *TIKTOK,Professional Services,Sale,-13.00,
0982,11/03/2025,11/03/2025,TIKTOK ADS,Professional Services,Sale,-14.00,
0982,11/02/2025,11/03/2025,TIKTOK ADS,Professional Services,Sale,-13.00,
0982,11/02/2025,11/03/2025,TIKTOK ADS,Professional Services,Sale,-14.00,
0982,11/01/2025,11/02/2025,TIKTOK ADS,Professional Services,Sale,-29.29,
0982,11/01/2025,11/02/2025,TIKTOK ADS,Professional Services,Sale,-472.74,
0982,11/02/2025,11/02/2025,TIKTOK ADS,Professional Services,Sale,-15.00,
0982,11/02/2025,11/02/2025,TIKTOK ADS,Professional Services,Sale,-14.00,
0982,11/02/2025,11/02/2025,TIKTOK ADS,Professional Services,Sale,-15.00,
0982,10/16/2025,10/16/2025,Payment Thank You - Web,,Payment,2500.00,
0982,10/12/2025,10/12/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-311.34,
0982,10/06/2025,10/06/2025,LATE FEE,Fees & Adjustments,Fee,-40.00,
0982,09/12/2025,09/12/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-212.22,
0982,09/09/2025,09/10/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-7782.84,
0982,09/08/2025,09/08/2025,STATEMENT CREDIT,Fees & Adjustments,Adjustment,111.93,
0982,09/08/2025,09/08/2025,Payment Thank You - Web,,Payment,500.00,
0982,09/01/2025,09/02/2025,TIKTOK ADS,Professional Services,Sale,-346.16,
0982,08/31/2025,08/31/2025,Payment Thank You - Web,,Payment,1000.00,
0982,08/16/2025,08/17/2025,Mailchimp,Merchandise & Inventory,Sale,-370.18,
0982,08/12/2025,08/12/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-188.63,
0982,08/11/2025,08/12/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,08/11/2025,08/12/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,08/01/2025,08/01/2025,Payment Thank You - Web,,Payment,267.00,
0982,07/18/2025,07/20/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-300.00,
0982,07/18/2025,07/20/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,07/19/2025,07/20/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,07/16/2025,07/17/2025,Mailchimp,Merchandise & Inventory,Sale,-370.18,
0982,07/11/2025,07/11/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-171.21,
0982,07/08/2025,07/08/2025,Payment Thank You - Web,,Payment,1000.00,
0982,07/02/2025,07/03/2025,TIKTOK ADS  *TIKTOK,Professional Services,Sale,-1688.25,
0982,07/01/2025,07/01/2025,Payment Thank You - Web,,Payment,1000.00,
0982,06/26/2025,06/27/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-44.31,
0982,06/23/2025,06/24/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,06/23/2025,06/24/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,06/21/2025,06/22/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-300.00,
0982,06/16/2025,06/17/2025,TikTok Ads,Professional Services,Return,10.00,
0982,06/16/2025,06/17/2025,TikTok Ads,Professional Services,Sale,-10.00,
0982,06/12/2025,06/12/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-169.74,
0982,06/03/2025,06/03/2025,Payment Thank You - Web,,Payment,305.00,
0982,05/12/2025,05/12/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-172.33,
0982,05/11/2025,05/11/2025,Payment Thank You - Web,,Payment,600.00,
0982,05/06/2025,05/06/2025,LATE FEE,Fees & Adjustments,Fee,-40.00,
0982,04/11/2025,04/11/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-170.69,
0982,04/06/2025,04/06/2025,LATE FEE,Fees & Adjustments,Fee,-40.00,
0982,03/26/2025,03/27/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,03/26/2025,03/27/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,03/26/2025,03/27/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,03/26/2025,03/27/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,03/20/2025,03/21/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-93.77,
0982,03/16/2025,03/17/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,03/16/2025,03/17/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,03/16/2025,03/17/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,03/16/2025,03/17/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,03/14/2025,03/14/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-98.33,
0982,03/12/2025,03/12/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-139.26,
0982,03/11/2025,03/12/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-119.63,
0982,03/09/2025,03/10/2025,TST* FRENCH 37,Food & Drink,Sale,-68.41,
0982,03/07/2025,03/09/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,03/07/2025,03/09/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,03/07/2025,03/09/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,03/07/2025,03/09/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,03/07/2025,03/09/2025,FACEBK *NRQDTL8GJ2,Professional Services,Sale,-14.92,
0982,03/07/2025,03/09/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,03/07/2025,03/09/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,03/07/2025,03/09/2025,RESOURCE FASHION,Merchandise & Inventory,Sale,-100.00,
0982,03/06/2025,03/06/2025,Payment Thank You - Web,,Payment,1000.00,
0982,02/12/2025,02/12/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-152.31,
0982,02/06/2025,02/06/2025,LATE FEE,Fees & Adjustments,Fee,-40.00,
0982,01/27/2025,01/28/2025,FACEBK *CM82FJYFJ2,Professional Services,Sale,-7.00,
0982,01/26/2025,01/28/2025,FACEBK *DD4FLJ8GJ2,Professional Services,Sale,-2.00,
0982,01/12/2025,01/12/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-155.35,
0982,01/02/2025,01/02/2025,Payment Thank You - Web,,Payment,517.00,
